Metric,Value
Infections_NRMSE,0.017048027366399765
Infections_MASE,32.08959682489691
Infections_MAE,1153.984130859375
Infections_MAPE,4717188887871488.0
Hospitalizations_NRMSE,0.011227825656533241
Hospitalizations_MASE,30.601910923164624
Hospitalizations_MAE,26.536251068115234
Hospitalizations_MAPE,10147650863104.0
Critical_NRMSE,0.007759657688438892
Critical_MASE,37.64224919540046
Critical_MAE,18.891712188720703
Critical_MAPE,134046290018304.0
Deaths_NRMSE,0.008573810569941998
Deaths_MASE,33.64400788130944
Deaths_MAE,5.920082092285156
Deaths_MAPE,20189456367616.0
