date,New Confirmed Cases,New Admissions,Critical Cases,New Deaths
2021-12-11,53672.23,751.6677,787.3047,98.16236
2021-12-12,57672.0,759.4715,787.5061,99.111145
2021-12-13,62411.92,767.47906,787.87476,100.0338
2021-12-14,67849.55,776.41833,788.35394,100.819176
2021-12-15,73824.336,787.4245,788.75714,101.340576
2021-12-16,80053.984,801.9729,788.7424,101.47937
2021-12-17,86158.47,821.5947,787.8736,101.15952
2021-12-18,91755.02,847.45746,785.7101,100.39023
2021-12-19,96553.914,879.8255,781.9449,99.29452
2021-12-20,100425.5,917.7177,776.49646,98.10095
2021-12-21,103395.77,958.93146,769.5341,97.09381
2021-12-22,105595.28,1000.6165,761.4074,96.535065
2021-12-23,107191.34,1040.0459,752.5532,96.60535
2021-12-24,108341.516,1075.2483,743.40393,97.37883
2021-12-25,109174.64,1105.3152,734.3172,98.83734
2021-12-26,109785.27,1130.1984,725.5725,100.89921
2021-12-27,110240.484,1150.4448,717.36176,103.45275
2021-12-28,110586.36,1166.8557,709.80804,106.38162
2021-12-29,110854.25,1180.2611,702.98206,109.57712
2021-12-30,111065.65,1191.4022,696.9156,112.94847
2021-12-31,111235.28,1200.8795,691.61694,116.42076
