Metric,Value
7_days_Infections_NRMSE,0.5865904688835144
7_days_Infections_MASE,32.28101536804079
7_days_Infections_MAE,18692.859375
7_days_Infections_MAPE,0.13618409633636475
7_days_Hospitalizations_NRMSE,0.5238745212554932
7_days_Hospitalizations_MASE,15.985623164553548
7_days_Hospitalizations_MAE,303.39361572265625
7_days_Hospitalizations_MAPE,0.19122542440891266
7_days_Critical_NRMSE,10.651216506958008
7_days_Critical_MASE,9.456343544854057
7_days_Critical_MAE,174.17263793945312
7_days_Critical_MAPE,0.2298600822687149
7_days_Deaths_NRMSE,0.31916919350624084
7_days_Deaths_MASE,1.8389109257973457
7_days_Deaths_MAE,7.192254066467285
7_days_Deaths_MAPE,0.06580132246017456
14_days_Infections_NRMSE,0.24225449562072754
14_days_Infections_MASE,31.497145480902287
14_days_Infections_MAE,11512.546875
14_days_Infections_MAPE,0.09111566096544266
14_days_Hospitalizations_NRMSE,0.2486068606376648
14_days_Hospitalizations_MASE,15.079616302823489
14_days_Hospitalizations_MAE,171.4225311279297
14_days_Hospitalizations_MAPE,0.11909881979227066
14_days_Critical_NRMSE,3.788776159286499
14_days_Critical_MASE,5.603125408442334
14_days_Critical_MAE,105.9212646484375
14_days_Critical_MAPE,0.1395549178123474
14_days_Deaths_NRMSE,0.21657435595989227
14_days_Deaths_MASE,2.135853677726418
14_days_Deaths_MAE,5.9924235343933105
14_days_Deaths_MAPE,0.057015154510736465
21_days_Infections_NRMSE,0.14147236943244934
21_days_Infections_MASE,51.08839161711323
21_days_Infections_MAE,10918.2529296875
21_days_Infections_MAPE,0.12019601464271545
21_days_Hospitalizations_NRMSE,0.19784604012966156
21_days_Hospitalizations_MASE,14.966671430781036
21_days_Hospitalizations_MAE,124.6027603149414
21_days_Hospitalizations_MAPE,0.09301674365997314
21_days_Critical_NRMSE,2.7755537033081055
21_days_Critical_MASE,3.800723759814946
21_days_Critical_MAE,80.34442138671875
21_days_Critical_MAPE,0.10538093000650406
21_days_Deaths_NRMSE,0.1715194135904312
21_days_Deaths_MASE,2.028479600499729
21_days_Deaths_MAE,4.360385894775391
21_days_Deaths_MAPE,0.04182809218764305
28_days_Infections_NRMSE,0.1201128214597702
28_days_Infections_MASE,60.917908583941674
28_days_Infections_MAE,9128.9619140625
28_days_Infections_MAPE,0.11194389313459396
28_days_Hospitalizations_NRMSE,0.16019098460674286
28_days_Hospitalizations_MASE,14.381322003193976
28_days_Hospitalizations_MAE,102.35668182373047
28_days_Hospitalizations_MAPE,0.08227986097335815
28_days_Critical_NRMSE,2.4065520763397217
28_days_Critical_MASE,2.9886844663908985
28_days_Critical_MAE,61.97761917114258
28_days_Critical_MAPE,0.08123455196619034
28_days_Deaths_NRMSE,0.16224850714206696
28_days_Deaths_MASE,1.7331151146486095
28_days_Deaths_MAE,4.23226261138916
28_days_Deaths_MAPE,0.04085506871342659
