Metric,Value
Infections_NRMSE,0.24225449562072754
Infections_MASE,31.497145480902287
Infections_MAE,11512.546875
Infections_MAPE,0.09111566096544266
Hospitalizations_NRMSE,0.2486068606376648
Hospitalizations_MASE,15.079616302823489
Hospitalizations_MAE,171.4225311279297
Hospitalizations_MAPE,0.11909881979227066
Critical_NRMSE,3.788776159286499
Critical_MASE,5.603125408442334
Critical_MAE,105.9212646484375
Critical_MAPE,0.1395549178123474
Deaths_NRMSE,0.21657435595989227
Deaths_MASE,2.135853677726418
Deaths_MAE,5.9924235343933105
Deaths_MAPE,0.057015154510736465
