Metric,Value
Infections_NRMSE,0.01789681613445282
Infections_MASE,30.91515911548654
Infections_MAE,1683.0550537109375
Infections_MAPE,1534127153086464.0
Hospitalizations_NRMSE,0.01756378635764122
Hospitalizations_MASE,30.53803798812352
Hospitalizations_MAE,44.00983428955078
Hospitalizations_MAPE,5497933004800.0
Critical_NRMSE,0.011895141564309597
Critical_MASE,37.69475801607767
Critical_MAE,32.111270904541016
Critical_MAPE,97819029405696.0
Deaths_NRMSE,0.012039368972182274
Deaths_MASE,33.686565362065416
Deaths_MAE,9.29810905456543
Deaths_MAPE,2414136000512.0
